Product Name,Price,Ratings,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Dial Material,Ideal For,Compatible OS,Sensor,Compatible Device,Notification,Charge Time,Battery Life,Charger Type,Display Resolution,Display Size,Display Type,Call Features,Product_Url
"boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch  (Blue Strap, Free Size)","₹1,299",4.1,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,No value available,Rectangle,Blue,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available,https://www.flipkart.com/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5D9YKF7HJ&lid=LSTSMWGHYF5D9YKF7HJUYBWXQ&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGHYF5D9YKF7HJ.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch  (Black Strap, Free Size)","₹1,299",4.1,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,No value available,Rectangle,Black,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available,https://www.flipkart.com/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5FXGPBV6A&lid=LSTSMWGHYF5FXGPBV6ANW6W6Q&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&spotlightTagId=BestsellerId_ajy%2Fbuh&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGHYF5FXGPBV6A.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch  (Green Strap, Free Size)","₹1,299",4.1,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,No value available,Rectangle,Green,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available,https://www.flipkart.com/boat-storm-call-1-69-inch-hd-display-bluetooth-calling-550-nits-brightness-smartwatch/p/itmf70a25b4a16e9?pid=SMWGHYF5Z5JZBRY5&lid=LSTSMWGHYF5Z5JZBRY5DVPQXU&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGHYF5Z5JZBRY5.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Fire-Boltt Ninja Pro Max 1.83"" Display with SpO2, Heart Rate & Ultra Thin 9.5mm Body Smartwatch  (Rose Gold Strap, Free Size)","₹1,099",4,"Ninja Pro Max 1.83"" Display with SpO2, Heart Rate & Ultra Thin 9.5mm Body",Rose Gold,Square,Rose Gold,Silicone,Free Size,Yes,Yes,1 mm,No value available,Men & Women,Android & iOS,"SpO2, Heart Rate Sensor, Accelerometer, Barometer",No value available,Yes,120 min,Upto 8 days,USB Cable With Metalic Charging Points,240 x 284 Pixel,1.83 Inch,TFT LED,Incoming Call Vibrate Alert,https://www.flipkart.com/fire-boltt-ninja-pro-max-1-83-display-spo2-heart-rate-ultra-thin-9-5mm-body-smartwatch/p/itmc876078231d3b?pid=SMWGG5GFDQF2GUBH&lid=LSTSMWGG5GFDQF2GUBHJFSIVX&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=en_%2FR%2BWzL15mz7iU29gzgVa%2FkcmOHIGPAPyyHmk%2F3wqBeaZyFUmv3w8CmfKA4sUH74VDtCBuSp7YOOOz3ZiIgrnkQ%3D%3D&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Ambrane Wise Eon Pro1.85 lucid display with BT calling Smartwatch  (Green Strap, Regular)",₹999,4.2,Wise Eon Pro1.85 lucid display with BT calling,No value available,Square,Green,Silicone,Regular,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"SpO2, 24*7 Heart Rate Monitoring, Blood Pressure, High Heart Rate Alert",No value available,No value available,No value available,10 Days,No value available,240*280 pixel,46.99 mm,No value available,No value available,https://www.flipkart.com/ambrane-wise-eon-pro1-85-lucid-display-bt-calling-smartwatch/p/itm7d5ef2cdb9d59?pid=SMWGGHZ8S63KRGHZ&lid=LSTSMWGGHZ8S63KRGHZRCKECK&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGGHZ8S63KRGHZ.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Ambrane Wise Eon Pro1.85 lucid display with BT calling Smartwatch  (Blue Strap, Regular)",₹999,4.2,Wise Eon Pro1.85 lucid display with BT calling,No value available,Square,Blue,Silicone,Regular,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"SpO2, 24*7 Heart Rate Monitoring, Blood Pressure, High Heart Rate Alert",No value available,No value available,No value available,10 Days,No value available,240*280 pixel,46.99 mm,No value available,No value available,https://www.flipkart.com/ambrane-wise-eon-pro1-85-lucid-display-bt-calling-smartwatch/p/itm7d5ef2cdb9d59?pid=SMWGGHZ8DQNJYEGR&lid=LSTSMWGGHZ8DQNJYEGRCFYQ1H&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGGHZ8DQNJYEGR.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Ambrane Wise Eon Pro1.85 lucid display with BT calling Smartwatch  (Black Strap, Regular)",₹999,4.2,Wise Eon Pro1.85 lucid display with BT calling,No value available,Square,Black,Silicone,Regular,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"SpO2, 24*7 Heart Rate Monitoring, Blood Pressure, High Heart Rate Alert",No value available,No value available,No value available,10 Days,No value available,240*280 pixel,46.99 mm,No value available,No value available,https://www.flipkart.com/ambrane-wise-eon-pro1-85-lucid-display-bt-calling-smartwatch/p/itm7d5ef2cdb9d59?pid=SMWGGHZ82UNWNURA&lid=LSTSMWGGHZ82UNWNURAONE8YS&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGGHZ82UNWNURA.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"boAt Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes Smartwatch  (Blue Strap, Free Size)",₹999,4,"Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes",No value available,Rectangle,Blue,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, SpO2, Heart Rate",Mobile,No value available,No value available,Upto 7 Days,No value available,454 x 454 Pixels,43 mm,No value available,No value available,https://www.flipkart.com/boat-wave-neo-1-69-inch-2-5d-curved-display-multiple-sports-modes-smartwatch/p/itm25cb8d4c5313f?pid=SMWGD7HJBMSDYZCG&lid=LSTSMWGD7HJBMSDYZCGHLS01J&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=en_%2FR%2BWzL15mz7iU29gzgVa%2FkcmOHIGPAPyyHmk%2F3wqBeY5c6O32GEUAnPuBM%2BoLUw432bI%2BS9HOqitfuDZN0d2aQ%3D%3D&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Noise Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant Smartwatch  (Pink Strap, Regular)","₹1,299",4.1,"Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant",Gold,Rectangle,Pink,Silicone,Regular,Yes,Yes,1 m,Polycarbonate,Men & Women,Android & iOS,"SpO2, Heart Rate","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",120 min,7 Days,Magnetic Charger,240 x 280 pixel,43 mm,LCD,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-buzz-bt-calling-1-69-inch-display-built-in-games-voice-assistant-smartwatch/p/itm6af342892788a?pid=SMWGGKSZAPFFJDHK&lid=LSTSMWGGKSZAPFFJDHKWFUK9W&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGGKSZAPFFJDHK.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Noise Force Plus BT Calling with 1.46''AMOLED display,rugged build, always on display Smartwatch  (Black Strap, Regular)","₹3,999",4.7,"Force Plus BT Calling with 1.46''AMOLED display,rugged build, always on display",Black,Circle,Black,Silicone,Regular,Yes,Yes,1 m,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, SpO2",No value available,Smart Notifications,No value available,Upto 7 Days,No value available,No value available,No value available,No value available,No value available,https://www.flipkart.com/noise-force-plus-bt-calling-1-46-amoled-display-rugged-build-always-display-smartwatch/p/itm78c4564f6cf22?pid=SMWGNHJ8QJN9N9GZ&lid=LSTSMWGNHJ8QJN9N9GZDAPIUO&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGNHJ8QJN9N9GZ.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Noise Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish Smartwatch  (Green Strap, Regular)","₹1,499",4.3,"Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish",Silver,Circle,Green,Silicone,Regular,Yes,Yes,No value available,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, Sp02, Sleep Monitor, Stress",No value available,No value available,No value available,7 Days,Magnetic Charger,240 x 240 pixel,35.052 mm,No value available,No value available,https://www.flipkart.com/noise-crew-bluetooth-calling-smartwatch-1-38-round-display-metallic-finish/p/itm49f2951ca41b2?pid=SMWGKXECTHSJXNUP&lid=LSTSMWGKXECTHSJXNUPQFCT4X&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGKXECTHSJXNUP.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes Smartwatch  (Pink Gold Strap, Free Size)","₹1,299",4.1,"Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes",Silver,Circle,Pink Gold,Silicone,Free Size,Yes,Yes,1 m,Zink Alloy,Men & Women,Android & iOS,"SpO2, Heart Rate Sensor, Accelerometer, Barometer",Mobile Phones,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",120 Min,"7 days normal, 15 days standby",USB Cable With Metalic Charging Points,240 x 240 Pixels,1.3 mm,TFT LED,"Reject Calls, Silent Calls",https://www.flipkart.com/fire-boltt-hurricane-1-3-curved-glass-display-360-health-training-100-sports-modes-smartwatch/p/itm246c63f06b309?pid=SMWGD53JYHARHHGH&lid=LSTSMWGD53JYHARHHGHFEHVHC&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_%2FR%2BWzL15mz7iU29gzgVa%2FkcmOHIGPAPyyHmk%2F3wqBeYjJ1e%2BQnlq4vYsWDJsu9ASANVu%2B8iuXbFtwo2KHdvORA%3D%3D&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"boAt Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes Smartwatch  (Burgundy Strap, Free Size)",₹999,4,"Wave Neo with 1.69 inch , 2.5D Curved Display & Multiple Sports Modes",No value available,Rectangle,Burgundy,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Accelerometer, SpO2, Heart Rate",Mobile,No value available,No value available,Upto 7 Days,No value available,454 x 454 Pixels,43 mm,No value available,No value available,https://www.flipkart.com/boat-wave-neo-1-69-inch-2-5d-curved-display-multiple-sports-modes-smartwatch/p/itm25cb8d4c5313f?pid=SMWGD7MCJZGZBANX&lid=LSTSMWGD7MCJZGZBANXYFIDDT&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGD7MCJZGZBANX.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch  (Pink Strap, Free Size)","₹1,499",4.2,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",Pink,Square,Pink,Silicone,Free Size,Yes,Yes,1 m,No value available,Men & Women,Android & iOS,"Buetooth Calling, SpO2, Heart Rate Sensor HRS3600, Accelerometer 3-Axis Sens, Barometer, Pedometer SC7A20",Mobile Phones,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",120 minutes,Upto 5 Days,USB Cable With Metalic Charging Points - 2 Pin Magnetic Cable,240 x 286 Pixel,1.83 Inch,IPS LCD,"Bluetooth Calling function, Dial Pad, Contacts, Call History, Recent Calls",https://www.flipkart.com/fire-boltt-ninja-calling-pro-plus-1-83-inch-display-smartwatch-bluetooth-calling-ai-voice/p/itmdf55f3ccff677?pid=SMWGGZ74YP5VGYEN&lid=LSTSMWGGZ74YP5VGYENMZOMUJ&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGGZ74YP5VGYEN.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Noise Loop Advanced Bluetooth Calling with 1.85'' Display, 550 Nits Brightness Smartwatch  (Black Strap, Regular)","₹1,499",4.2,"Loop Advanced Bluetooth Calling with 1.85'' Display, 550 Nits Brightness",Black,Square,Black,Silicone,Regular,Yes,Yes,1.5 m,Polycarbonate,Men & Women,Android & iOS,"Accelerometer , Heart Rate",No value available,"Smart Notifications (Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts",No value available,7 Days,Magnetic Charger,240 x 284 pixel,46.99 mm,TFT,"Mute Calls, Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-loop-advanced-bluetooth-calling-1-85-display-550-nits-brightness-smartwatch/p/itmfe1f851bb6a19?pid=SMWGG6GFSWZDVG57&lid=LSTSMWGG6GFSWZDVG57ZFZIUI&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGG6GFSWZDVG57.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Noise Icon 2 Bluetooth Calling with 1.8'' Display, AI Voice Assistant & 60 Sports Mode Smartwatch  (Pink Strap, Regular)","₹1,499",4.2,"Icon 2 Bluetooth Calling with 1.8'' Display, AI Voice Assistant & 60 Sports Mode",Gold,Rectangle,Pink,Silicone,Regular,Yes,Yes,No value available,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",No value available,7 Days,Magnetic Charger,240 x 286 pixel,45.72 mm,No value available,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-2-bluetooth-calling-1-8-display-ai-voice-assistant-60-sports-mode-smartwatch/p/itmfe45522801307?pid=SMWGEH7VNGPYN5NV&lid=LSTSMWGEH7VNGPYN5NVMOZGQP&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_%2FR%2BWzL15mz7iU29gzgVa%2FkcmOHIGPAPyyHmk%2F3wqBeYrxLZ8A%2FarHydu4Nw1DwMsntVbHUla2UKyGyBVw124WQ%3D%3D&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Noise Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant Smartwatch  (Midnight Gold Strap, Regular)","₹1,299",4.1,"Icon Buzz BT Calling with 1.69 inch display, Built-In Games & Voice Assistant",Gold,Rectangle,Midnight Gold,Silicone,Regular,Yes,Yes,1 m,Polycarbonate,Men & Women,Android & iOS,"SpO2, Heart Rate",Android 5.1 or above & iOS 8.0 0r above,"Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",120 min,7 Days,Magnetic Charger,240 x 280 pixel,43 mm,LCD,"Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-icon-buzz-bt-calling-1-69-inch-display-built-in-games-voice-assistant-smartwatch/p/itm8e2dc3457a808?pid=SMWGAU62KKN892B7&lid=LSTSMWGAU62KKN892B7CDMOJ1&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGAU62KKN892B7.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Fastrack Revoltt FS1|1.83"" Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Black Strap, Free Size)","₹1,999",4.3,"Revoltt FS1|1.83"" Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces",No value available,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Polycarbonate,Men & Women,Android & iOS,Accelerometer,No value available,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",45 min,Upto 7 days,Pogo Pin Charging Cable,240 x 284 Pixel,1.83 Inch,LCD,"Call Answer, Call Reject, Call Mute, Call Notifications",https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm218bea024d2aa?pid=SMWGN4YEWGNZ2GGM&lid=LSTSMWGN4YEWGNZ2GGMLUF0DF&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGN4YEWGNZ2GGM.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Fire-Boltt Wonder 1.8"" Bluetooth Calling Smart Watch with AI Voice Assistant & Calculator Smartwatch  (Pink Strap, Free Size)","₹1,499",4.1,"Wonder 1.8"" Bluetooth Calling Smart Watch with AI Voice Assistant & Calculator",Blue,Square,Pink,Silicone,Free Size,Yes,Yes,1 m,No value available,Men & Women,Android & iOS,"SpO2, Heart Rate Sensor HRS3600, Accelerometer 3-Axis Sensor, Barometer, Pedometer SC7A20",Android 5.0 & IOS 10.0 and Above,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",120 Minutes,Upto 5 Days,USB Cable With Metalic Charging Points - 4 Pin Magnetic Cable,No value available,No value available,No value available,No value available,https://www.flipkart.com/fire-boltt-wonder-1-8-bluetooth-calling-smart-watch-ai-voice-assistant-calculator-smartwatch/p/itmab9671bfe8f23?pid=SMWGFKRFAZBSBQ3C&lid=LSTSMWGFKRFAZBSBQ3C3WZMCN&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGFKRFAZBSBQ3C.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Fastrack Revoltt FS1 Pro|World's First,1.96"" Super AMOLED|Highest Resolution|BT Calling Smartwatch  (Black Strap, Free Size)","₹3,999",4.4,"Revoltt FS1 Pro|World's First,1.96"" Super AMOLED|Highest Resolution|BT Calling",No value available,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Polycarbonate,Men & Women,Android & iOS,Accelerometer,No value available,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifications, Other App Notification",60 min,Upto 7 Days,Pogo Pin Charging Cable,410 x 502 Pixels,1.96 inch,Super AMOLED,"Call Answer, Call Reject, Call Mute, Call Notifications",https://www.flipkart.com/fastrack-revoltt-fs1-pro-world-s-first-1-96-super-amoled-highest-resolution-bt-calling-smartwatch/p/itmb29332b61321a?pid=SMWGZ835PYX4HJGR&lid=LSTSMWGZ835PYX4HJGRCFZKL9&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=en_%2FR%2BWzL15mz7iU29gzgVa%2FkcmOHIGPAPyyHmk%2F3wqBebSWl5gLqFHP3RHIQEr%2B3P9HrP%2FInkR56HoXF8YMfn0FQ%3D%3D&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Noise Loop Advanced Bluetooth Calling with 1.85'' Display, 550 Nits Brightness Smartwatch  (Green Strap, Regular)","₹1,499",4.2,"Loop Advanced Bluetooth Calling with 1.85'' Display, 550 Nits Brightness",Green,Square,Green,Silicone,Regular,Yes,Yes,1.5 m,Polycarbonate,Men & Women,Android & iOS,"Accelerometer , Heart Rate",No value available,"Smart Notifications (Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts",No value available,7 Days,Magnetic Charger,240 x 284 pixel,46.99 mm,TFT,"Mute Calls, Reject Calls, Take Calls, Speed Dial",https://www.flipkart.com/noise-loop-advanced-bluetooth-calling-1-85-display-550-nits-brightness-smartwatch/p/itm02881a00e9234?pid=SMWGG6GGJ7HNZRBK&lid=LSTSMWGG6GGJ7HNZRBKPYXCN0&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGG6GGJ7HNZRBK.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"boAt Wave Arcade with 1.81 inch HD Display and Bluetooth Calling Smartwatch  (Blue Strap, Free Size)","₹1,599",4,Wave Arcade with 1.81 inch HD Display and Bluetooth Calling,No value available,Rectangle,Blue,Silicone,Free Size,Yes,Yes,No value available,No value available,Men & Women,Android & iOS,"Heart Rate, SpO2",No value available,No value available,No value available,Upto 7 Days,No value available,No value available,No value available,No value available,No value available,https://www.flipkart.com/boat-wave-arcade-1-81-inch-hd-display-bluetooth-calling-smartwatch/p/itm3c1756e9940b6?pid=SMWGKN7TJGEUNMZR&lid=LSTSMWGKN7TJGEUNMZRNGPGHO&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGKN7TJGEUNMZR.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Fastrack Revoltt FS1|1.83"" Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Blue Strap, Free Size)","₹1,999",4.3,"Revoltt FS1|1.83"" Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces",No value available,Rectangle,Blue,Silicone,Free Size,Yes,Yes,1.5 m,Polycarbonate,Men & Women,Android & iOS,Accelerometer,No value available,"Call Notifications , Call Answer & Reject, Call Mute, Social Media Notifications, SMS Notifictaions, Other App Notification",45 min,Upto 7 days,Pogo Pin Charging Cable,240 x 284 Pixel,1.83 Inch,LCD,"Call Answer, Call Reject, Call Mute, Call Notifications",https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itmf9d641a3d9488?pid=SMWGN4YE3YRF2QH9&lid=LSTSMWGN4YE3YRF2QH9J09ZDA&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=462a9f5b-2c30-45b0-adb6-8a5ee7e5d4fe.SMWGN4YE3YRF2QH9.SEARCH&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
"Gizmore GizFit GLOW AMOLED with 3.4 Cm | ALWAYS-ON | 550 NITS Brightness | BT Calling Smartwatch  (Black Strap, Regular)","₹1,499",4,GizFit GLOW AMOLED with 3.4 Cm | ALWAYS-ON | 550 NITS Brightness | BT Calling,Black,Circle,Black,Silicone,Regular,Yes,Yes,2 m,Aluminium Alloy,Men & Women,Android & iOS,"3 Axis Accelerometer, Optical Heart Rate Sensor, SpO2 (Blood Oxygen Saturation Level), Gyroscope Sensor, Wearing Monitoring.",Android and iOS device,"Reminders, Social Media",120 min,2 Days With Calling | 15 Days Without Calling,Magnetic Charger,No value available,No value available,No value available,No value available,https://www.flipkart.com/gizmore-gizfit-glow-amoled-3-4-cm-always-on-550-nits-brightness-bt-calling-smartwatch/p/itm25256917b2fe3?pid=SMWGFJYPGAQCEPYY&lid=LSTSMWGFJYPGAQCEPYYHIXNHK&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=en_%2FR%2BWzL15mz7iU29gzgVa%2FkcmOHIGPAPyyHmk%2F3wqBeaa7lrzDP8s5Cwsww2mI5cH69tSTCyW1YkYs1ChBgmgtw%3D%3D&ppt=None&ppn=None&ssid=tcefwp7lu80000001683231335090&qH=acc05e33fb140cc4
