ProductName,Price,Ratings,Capacity in tons,ModelName,ProductType,Brand,ProductColor,CoolingCapacity,Compressor,RemoteControl,DustFilter,PowerRequirement,PowerConsumption,Product_Url
"MarQ by Flipkart 2023 Range 1.5 Ton 4 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - White  (155SIAA22W., Copper Condenser)","₹29,999",4.1,1.5 Ton,155SIAA22W.,Split,MarQ by Flipkart,White,5100 W,Inverter Compressor,Yes,Yes,"AC 220 - 240 V, 50 Hz",1365 W,https://www.flipkart.com/marq-flipkart-2023-range-1-5-ton-4-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itmc5cf16283e54b?pid=ACNGH7EZ2ZHHGQ6H&lid=LSTACNGH7EZ2ZHHGQ6HJNCNFH&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=d7ea2d4d-0566-4e59-93c0-fbf797969e8d.ACNGH7EZ2ZHHGQ6H.SEARCH&ppt=None&ppn=None&ssid=m1e04bn8000000001683142782242&qH=fb2a25a33265e1ef
"LG AI Convertible 6-in-1 Cooling 2023 Model 1.5 Ton 3 Star Split AI Dual Inverter 2 Way Swing, HD Filter with Anti-Virus Protection AC  - White  (RS-Q19ENXE, Copper Condenser)","₹37,990",4.1,1.5 Ton,RS-Q19ENXE,Split,LG,White,5000 W,Dual Rotary Compressor,Yes,No value available,No value available,No value available,https://www.flipkart.com/lg-ai-convertible-6-in-1-cooling-2023-model-1-5-ton-3-star-split-dual-inverter-2-way-swing-hd-filter-anti-virus-protection-ac-white/p/itm832098a941398?pid=ACNGHBX44THKQGZQ&lid=LSTACNGHBX44THKQGZQSXO8S3&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=d7ea2d4d-0566-4e59-93c0-fbf797969e8d.ACNGHBX44THKQGZQ.SEARCH&ppt=None&ppn=None&ssid=m1e04bn8000000001683142782242&qH=fb2a25a33265e1ef
"MarQ by Flipkart 2023 Range 1 Ton 3 Star Split Inverter 4-in-1 Convertible with Turbo Cool Technology AC  - White  (103SIAA22BW, Copper Condenser)","₹26,499",4.1,1 Ton,103SIAA22BW,Split,MarQ by Flipkart,White,3500 W,Inverter Compressor,Yes,Yes,"AC 220 - 240 V, 50 Hz",1115 W,https://www.flipkart.com/marq-flipkart-2023-range-1-ton-3-star-split-inverter-4-in-1-convertible-turbo-cool-technology-ac-white/p/itm7d81fe7d20936?pid=ACNGKYHZUDEUBFD3&lid=LSTACNGKYHZUDEUBFD3CUBTNO&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=d7ea2d4d-0566-4e59-93c0-fbf797969e8d.ACNGKYHZUDEUBFD3.SEARCH&ppt=None&ppn=None&ssid=m1e04bn8000000001683142782242&qH=fb2a25a33265e1ef
"Haier Frost Self-Clean 2023 Model 1.5 Ton 3 Star Split Inverter Cooling at Extreme Temperature, Super Anti-corrosion AC  - White  (HS17V-TMS3BE-INV/HU17-3BE-INV, Copper Condenser)","₹31,990",3.9,1.5 Ton,HS17V-TMS3BE-INV/HU17-3BE-INV,Split,Haier,White,4600 W,Inverter,Yes,No value available,No value available,No value available,https://www.flipkart.com/haier-frost-self-clean-2023-model-1-5-ton-3-star-split-inverter-cooling-extreme-temperature-super-anti-corrosion-ac-white/p/itm7d52466be297e?pid=ACNGMF2GSYP7KKNP&lid=LSTACNGMF2GSYP7KKNPTVTN4S&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=d7ea2d4d-0566-4e59-93c0-fbf797969e8d.ACNGMF2GSYP7KKNP.SEARCH&ppt=None&ppn=None&ssid=m1e04bn8000000001683142782242&qH=fb2a25a33265e1ef
"Daikin 1.5 Ton 5 Star Split Inverter AC with PM 2.5 Filter  - White  (RKM50UV16U/MTKM50UV16U/RKM50UV16V/MTKM50UV16V, Copper Condenser)","₹45,490",4.2,1.5 Ton,RKM50UV16U/MTKM50UV16U/RKM50UV16V/MTKM50UV16V,Split,Daikin,White,5280 W,Swing Compressor,Yes,Yes,"AC 130 - 285 V, 50 Hz",1325 W,https://www.flipkart.com/daikin-1-5-ton-5-star-split-inverter-ac-pm-2-5-filter-white/p/itm84f4a6e1680e9?pid=ACNGB2YAZEB79THV&lid=LSTACNGB2YAZEB79THVLGIGWW&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=d7ea2d4d-0566-4e59-93c0-fbf797969e8d.ACNGB2YAZEB79THV.SEARCH&ppt=None&ppn=None&ssid=m1e04bn8000000001683142782242&qH=fb2a25a33265e1ef
"Godrej 5-in-1 Convertible Cooling 2023 Model 1 Ton 3 Star Split Inverter i-sense Technology with Blue Fin Anti Corrosive Coating AC  - White  (AC 1T EI 12TINV3R32-GWA & AC 1T EI 12TINV3R32-GWAA, Copper Condenser)","₹28,990",4.1,1 Ton,AC 1T EI 12TINV3R32-GWA & AC 1T EI 12TINV3R32-GWAA,Split,Godrej,White,3500 W,Single Rotary,Yes,No value available,No value available,No value available,https://www.flipkart.com/godrej-5-in-1-convertible-cooling-2023-model-1-ton-3-star-split-inverter-i-sense-technology-blue-fin-anti-corrosive-coating-ac-white/p/itm9894663a85b9f?pid=ACNGK96ZFHGYYGNG&lid=LSTACNGK96ZFHGYYGNGNFIDPC&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=d7ea2d4d-0566-4e59-93c0-fbf797969e8d.ACNGK96ZFHGYYGNG.SEARCH&ppt=None&ppn=None&ssid=m1e04bn8000000001683142782242&qH=fb2a25a33265e1ef
"Hitachi Ice Clean Frost Wash Technology 2023 Model 1.5 Ton 3 Star Split Inverter Xpandable plus Ambience Light R 32 AC  - White  (RAS.G318PCAIBFE (RAK.G318PCAIBFE / RAC.318WCAIE), Copper Condenser)","₹37,999",3.9,1.5 Ton,RAS.G318PCAIBFE (RAK.G318PCAIBFE / RAC.318WCAIE),Split,Hitachi,White,5190 W,Rotary,Yes,No value available,No value available,No value available,https://www.flipkart.com/hitachi-ice-clean-frost-wash-technology-2023-model-1-5-ton-3-star-split-inverter-xpandable-plus-ambience-light-r-32-ac-white/p/itm41f690027a5d2?pid=ACNGMMGSE5ZTW8SH&lid=LSTACNGMMGSE5ZTW8SHFNBK2A&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=d7ea2d4d-0566-4e59-93c0-fbf797969e8d.ACNGMMGSE5ZTW8SH.SEARCH&ppt=None&ppn=None&ssid=m1e04bn8000000001683142782242&qH=fb2a25a33265e1ef
"Lloyd 1.2 Ton 3 Star Split Inverter AC  - White  (GLS15I3FWSEV, Copper Condenser)","₹31,499",4.2,1.2 Ton,GLS15I3FWSEV,Split,Lloyd,White,4250 W,Rotary,Yes,Yes,"AC 230 V, 50 Hz",854.42 W,https://www.flipkart.com/lloyd-1-2-ton-3-star-split-inverter-ac-white/p/itm04fd71811c1b1?pid=ACNGHTGZQPGCAZNP&lid=LSTACNGHTGZQPGCAZNP79GA42&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=d7ea2d4d-0566-4e59-93c0-fbf797969e8d.ACNGHTGZQPGCAZNP.SEARCH&ppt=None&ppn=None&ssid=m1e04bn8000000001683142782242&qH=fb2a25a33265e1ef
"Lloyd 0.8 Ton 3 Star Split Inverter AC  - White  (GLS09I3FWSEV, Copper Condenser)","₹26,999",4.2,0.8 Ton,GLS09I3FWSEV,Split,Lloyd,White,2700 W,Rotary,Yes,Yes,"AC 230 V, 50 Hz",549.06 W,https://www.flipkart.com/lloyd-0-8-ton-3-star-split-inverter-ac-white/p/itmdf3ad67d01439?pid=ACNGHTGZZBBQ9AAX&lid=LSTACNGHTGZZBBQ9AAX44VIEO&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=d7ea2d4d-0566-4e59-93c0-fbf797969e8d.ACNGHTGZZBBQ9AAX.SEARCH&ppt=None&ppn=None&ssid=m1e04bn8000000001683142782242&qH=fb2a25a33265e1ef
"Godrej 5-in-1 Convertible Cooling 2023 Model 1.5 Ton 5 Star Split Inverter i-sense Technology with Blue Fin Anti Corrosive Coating AC  - White  (AC 1.5T EI 18IINV5R32 WWA/EI 18IINV5R32 WWR, Copper Condenser)","₹36,990",4.1,1.5 Ton,AC 1.5T EI 18IINV5R32 WWA/EI 18IINV5R32 WWR,Split,Godrej,White,4900 W,Rotary,Yes,No value available,No value available,No value available,https://www.flipkart.com/godrej-5-in-1-convertible-cooling-2023-model-1-5-ton-5-star-split-inverter-i-sense-technology-blue-fin-anti-corrosive-coating-ac-white/p/itm5b05f9e7bb387?pid=ACNGKJSWVKZHW7DD&lid=LSTACNGKJSWVKZHW7DDDZMQ2W&marketplace=FLIPKART&q=air+conditioner&store=j9e%2Fabm%2Fc54&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=d7ea2d4d-0566-4e59-93c0-fbf797969e8d.ACNGKJSWVKZHW7DD.SEARCH&ppt=None&ppn=None&ssid=m1e04bn8000000001683142782242&qH=fb2a25a33265e1ef
