Product Name,Price,Ratings,Author,Publishing Date,Publisher,Edition,Number of Pages,Language,Product_Url
"Lucent's General Knowledge With General Knowledge 2022  (Paperback, lucent manohar pandey)",₹261,4.5,lucent manohar pandey,No value available,lucent,2020,410,English,https://www.flipkart.com/lucent-s-general-knowledge-2022/p/itmc2db43cdc615c?pid=RBKGYF8ZPYQDUQCC&lid=LSTRBKGYF8ZPYQDUQCCNS9HSG&marketplace=FLIPKART&q=books&store=bks&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGYF8ZPYQDUQCC.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"ENGLISHWALE.COM English Speaking Course Book (BBD SPECIAL EDITION)  (Paperback, Hindi, Pooja Rana)",₹189,4.3,Pooja Rana,No value available,ENGLISHWALE.COM,3,450,Hindi,https://www.flipkart.com/englishwale-com-english-speaking-course-book-bbd-special-edition/p/itm487134252726c?pid=RBKGGVW2W3VQGHBV&lid=LSTRBKGGVW2W3VQGHBV1NZF0J&marketplace=FLIPKART&q=books&store=bks&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGGVW2W3VQGHBV.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"SSC CGL 2023: 40 TCS Sets Solved Papers English Medium  (Paperback, Pinnacle Publications)",₹360,4.4,Pinnacle Publications,No value available,Pinnacle Publications,1st,402,English,https://www.flipkart.com/ssc-cgl-2023-40-tcs-sets-solved-papers-english-medium/p/itm4ff81a0e5402c?pid=RBKGM4HQBPZEGJJQ&lid=LSTRBKGM4HQBPZEGJJQBU4VQM&marketplace=FLIPKART&q=books&store=bks&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGM4HQBPZEGJJQ.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Lok Vyavhar - लोक व्यवहार (Hindi Translation Of How To Win Friends & Influence People) By Dale Carnegie+Apke Avchetan Man Ki Shakti : आपके अवचेतन मन की शक्ति (The Power Of Your Subconscious Mind In Hindi) By Dr. Joseph Murphy+Think & Grow Rich - सोचो और अमीर बनो (Hindi Translation Of Think And Grow Rich) By Napoleon Hill  (Paperback, Hindi, Dale Carnegie+Dr. Joseph Murphy+Hill, Napolean)",₹356,4.6,"Dale Carnegie+Dr. Joseph Murphy+Hill, Napolean",No value available,Diamond Pocket Books Pvt LTD,1,670,Hindi,https://www.flipkart.com/lok-vyavhar-hindi-translation-win-friends-influence-people-dale-carnegie-apke-avchetan-man-ki-shakti-the-power-your-subconscious-mind-hindi-dr-joseph-murphy-think-grow-rich-think-rich-napoleon-hill/p/itm9490260cc6bde?pid=RBKG3UY5PDYZNHQF&lid=LSTRBKG3UY5PDYZNHQFQQEM13&marketplace=FLIPKART&q=books&store=bks&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_OzO%2Fbv4afWf2DKjIiwcFWSWAn5OocN3Kj4l8pEBU7%2FPAC9N49c6NhLBKQEVeZyjV6rk2cbCXVMXTzQ7Y7d1bEA%3D%3D&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Zero To Hero In 60 Days I English Grammar & Practice I English Medium  (Paperback, Pinnacle Publications, Neeru Madam)",₹309,4.3,"Pinnacle Publications, Neeru Madam",No value available,Pinnacle Publications,1st,395,English,https://www.flipkart.com/zero-hero-60-days-english-grammar-practice-medium/p/itm1f35bc662a8f5?pid=RBKGCCRSTRAFMATJ&lid=LSTRBKGCCRSTRAFMATJLWKFLS&marketplace=FLIPKART&q=books&store=bks&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGCCRSTRAFMATJ.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"50+ Bank PO & Clerk 3.0 | 2017-2022 Previous Years' Memory Based Papers Book (Hindi Printed Edition)  (Paperback, Hindi, Adda247 Publications)",₹525,4.1,Adda247 Publications,No value available,Adda247 Publications,3,1148,Hindi,https://www.flipkart.com/50-bank-po-clerk-3-0-2017-2022-previous-years-memory-based-papers-book-hindi-printed-edition/p/itm83e82342c4186?pid=RBKGE9F3PTBGXQBG&lid=LSTRBKGE9F3PTBGXQBGQ0I94N&marketplace=FLIPKART&q=books&store=bks&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGE9F3PTBGXQBG.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Objective NCERT At Your FINGERTIPS  PHYSICS, CHEMISTRY, BIOLOGY COMBO  (Paperback, MTG Expert)","₹1,724",4.5,MTG Expert,No value available,MTG,2020,3260,English,https://www.flipkart.com/objective-ncert-your-fingertipsphysics-chemistry-biology-combo/p/itme1e4aa74770eb?pid=RBKFU95QHSXNT4SX&lid=LSTRBKFU95QHSXNT4SXHWRLXX&marketplace=FLIPKART&q=books&store=bks&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKFU95QHSXNT4SX.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"How To Win Friends And Influence People  (Paperback, DALE CARNEGIE)",₹148,4.4,DALE CARNEGIE,No value available,ENZINE PRESS,REPRINT EDITION 2020,232,English,https://www.flipkart.com/win-friends-influence-people/p/itm8931442b3473d?pid=RBKGEMXB6GBZYSCE&lid=LSTRBKGEMXB6GBZYSCE1SMFAV&marketplace=FLIPKART&q=books&store=bks&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_OzO%2Fbv4afWf2DKjIiwcFWSWAn5OocN3Kj4l8pEBU7%2FNzn2KH6hdX%2FCtnzbSVNAg1Ta10gTDkihew3TeHSNKGXQ%3D%3D&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Fundamentals Of Geography By Study IQ  (Paperback, StudyIQ Publications)",₹312,4.6,StudyIQ Publications,No value available,StudyIQ Publications,1,252,English,https://www.flipkart.com/fundamentals-geography-study-iq/p/itmcc613c2318c96?pid=RBKGDV2H2EHP6HNJ&lid=LSTRBKGDV2H2EHP6HNJAJVAVV&marketplace=FLIPKART&q=books&store=bks&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGDV2H2EHP6HNJ.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Bedtime Story Books For Kids In English | Tiny Tales - Delightful Hobby | Age 4 - 8 Years | Easy To Read Stories With Pictures | Set Of 10 Books  (Paperback, Soumita Sengupta, Zenaida Pereira, Mayoorika Banerjee, Saachi Bindra, Monalisa Mallick, Nidhi Tholia)",₹614,4.5,"Soumita Sengupta, Zenaida Pereira, Mayoorika Banerjee, Saachi Bindra, Monalisa Mallick, Nidhi Tholia",No value available,Woodsnipe Publications,1,280,English,https://www.flipkart.com/bedtime-story-books-kids-english-tiny-tales-delightful-hobby-age-4-8-years-easy-read-stories-pictures-set-10/p/itm419e36a84b5f6?pid=RBKFWBYSWKTXYYAN&lid=LSTRBKFWBYSWKTXYYANTQ6JU8&marketplace=FLIPKART&q=books&store=bks&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKFWBYSWKTXYYAN.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"MHT-CET Triumph Physics, Chemistry And Biology (PCB) MCQ Books Combo For Pharmacy Entrance Exam | Based On Relevant Chapters Of 11th And 12th Syllabus Of Maharashtra State Board | 3 Books  (Paperback, Content Team at Target Publications)","₹1,120",4.4,Content Team at Target Publications,No value available,Target Publications Pvt. Ltd.,1,1120,English,https://www.flipkart.com/mht-cet-triumph-physics-chemistry-biology-pcb-mcq-books-combo-pharmacy-entrance-exam-based-relevant-chapters-11th-12th-syllabus-maharashtra-state-board-3/p/itm9d94e0c196f92?pid=RBKFV9W8DMS6YDSZ&lid=LSTRBKFV9W8DMS6YDSZYAFNV6&marketplace=FLIPKART&q=books&store=bks&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKFV9W8DMS6YDSZ.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"The Holy Quran - English Translation With Original Arabic Text  (Hardcover, Abdullah Yusuf Ali)",₹333,4.5,Abdullah Yusuf Ali,No value available,Madhur Sandesh Sangam,1,740,English,https://www.flipkart.com/holy-quran-english-translation-original-arabic-text/p/itm6ebdb556d81cb?pid=RBKFZ5BPVG4FXZYC&lid=LSTRBKFZ5BPVG4FXZYCVEDBMO&marketplace=FLIPKART&q=books&store=bks&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=en_OzO%2Fbv4afWf2DKjIiwcFWSWAn5OocN3Kj4l8pEBU7%2FNQv4yHWoG8wWHH57sNip%2B2ZDDFByDrrKcektiMxAkv1w%3D%3D&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Bengali Version - How To Avoid Loss And Earn Consistently In The Stock Market - Share Bazar E Kibhabe Loksan Bhule Dhonoban Hoben  (Paperback, Bengali, Prasenjit Paul)",₹399,4.2,Prasenjit Paul,No value available,Paul Asset Consultant Private Limited,1st Edition 2022,264,Bengali,https://www.flipkart.com/bengali-version-avoid-loss-earn-consistently-stock-market-share-bazar-e-kibhabe-loksan-bhule-dhonoban-hoben/p/itme66a50969a54e?pid=RBKGBHVKKGRHJGUZ&lid=LSTRBKGBHVKKGRHJGUZDQFFBK&marketplace=FLIPKART&q=books&store=bks&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGBHVKKGRHJGUZ.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"SSC CGL 2023: 4000 TCS MCQ Chapter Wise With Detailed Explanation English Medium  (Paperback, Pinnacle Publications)",₹395,4.4,Pinnacle Publications,No value available,Pinnacle Publications,1st,436,English,https://www.flipkart.com/ssc-cgl-2023-4000-tcs-mcq-chapter-wise-detailed-explanation-english-medium/p/itmbfb32deff5d65?pid=RBKGM4KGQYMXGDFZ&lid=LSTRBKGM4KGQYMXGDFZQBJL2Y&marketplace=FLIPKART&q=books&store=bks&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGM4KGQYMXGDFZ.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
"Exampur Super 30 Ankganit (Arithmetics ) Bilingual Vol-1 (2022-23)  (Paperback, Hindi, Abhinandhan sir)",₹425,4.5,Abhinandhan sir,No value available,Exampur (Learning Closet Pvt Ltd),1,1000,Hindi,https://www.flipkart.com/exampur-super-30-ankganit-arithmetics-bilingual-vol-1-2022-23/p/itm9507979c7ea37?pid=RBKGF3DJS9GDTYYU&lid=LSTRBKGF3DJS9GDTYYUVQ0T9H&marketplace=FLIPKART&q=books&store=bks&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=32991807-9f2b-41f8-959b-8e24aebef751.RBKGF3DJS9GDTYYU.SEARCH&ppt=None&ppn=None&ssid=tvsel6wac00000001683235131928&qH=7d8949bcbf85067f
