,Product Name,Price,Ratings,Model Name,Dial Color,Dial Shape,Strap Color,Strap Material,Size,Touchscreen,Water Resistant,Water Resistance Depth,Usage,Dial Material,Ideal For,Compatible OS,Sensor,Compatible Device,Notification,Charge Time,Battery Life,Charger Type,Display Resolution,Display Size,Display Type,Call Features
30,"boAt Wave pro 1.69inch HD display withTemperature Sensor and live cricket updates Smartwatch  (Purple Strap, Free Size)","₹1,299",3.9,Wave pro 1.69inch HD display withTemperature Sensor and live cricket updates,No value available,Rectangle,Purple,Silicone,Free Size,Yes,Yes,No value available,Fitness & Outdoor,Zinc Alloy,Men & Women,Android & iOS,"Accelerometer, Heart Rate, SpO2, Temperature",Mobile,"Call, Text and Social Media Notification",30 Minutes,Upto 7 Days,No value available,No value available,No value available,No value available,No value available
31,"Noise Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games Smartwatch  (Midnight Gold Strap, Regular)","₹1,699",4.2,"Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games",Gold,Rectangle,Midnight Gold,Silicone,Regular,Yes,Yes,1 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,"SpO2, Heart Rate",Android 5.1 or above & iOS 8.0 0r above,"Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",120 min,7 Days,Magnetic Charger,240 x 280 pixel,43 mm,LCD,"Reject Calls, Take Calls, Speed Dial"
32,"Noise Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games Smartwatch  (Pink Strap, Regular)","₹1,799",4.2,"Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games",Gold,Rectangle,Pink,Silicone,Regular,Yes,Yes,1 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,"SpO2, Heart Rate","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",120 min,7 Days,Magnetic Charger,240 x 280 pixel,43 mm,LCD,"Reject Calls, Take Calls, Speed Dial"
33,"Fire-Boltt Wonder 1.8"" Bluetooth Calling Smart Watch with AI Voice Assistant & Calculator Smartwatch  (Pink Strap, Free Size)","₹1,799",4.1,"Wonder 1.8"" Bluetooth Calling Smart Watch with AI Voice Assistant & Calculator",Blue,Square,Pink,Silicone,Free Size,Yes,Yes,1 m,Fitness & Outdoor,No value available,Men & Women,Android & iOS,"SpO2, Heart Rate Sensor HRS3600, Accelerometer 3-Axis Sensor, Barometer, Pedometer SC7A20",Android 5.0 & IOS 10.0 and Above,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",120 Minutes,Upto 5 Days,USB Cable With Metalic Charging Points - 4 Pin Magnetic Cable,No value available,No value available,No value available,No value available
34,"Boult Drift Bluetooth Calling, 1.69inch HD Display Smartwatch  (Black Strap, Free Size)","₹1,699",4.3,"Drift Bluetooth Calling, 1.69inch HD Display",Multicolour,Rectangle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,ABS,Men & Women,Android & iOS,"Real Heart rate, SPO2",Smartphone,"Social Media, Messages, Incoming Calls, Emails",150 Min,10 Days,Magnetic Charging Cable,No value available,No value available,No value available,No value available
35,"Noise Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games Smartwatch  (Black Strap, Regular)","₹1,699",4.2,"Icon Buzz BT Calling with 1.69"" display , AI Voice Assistance, Built-In Games",Black,Rectangle,Black,Silicone,Regular,Yes,Yes,1 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,"SpO2, Heart Rate","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",120 min,7 Days,Magnetic Charger,240 x 280 pixel,43 mm,LCD,"Reject Calls, Take Calls, Speed Dial"
36,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes Smartwatch  (Pink Gold Strap, Free Size)","₹1,699",4.1,"Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes",Silver,Circle,Pink Gold,Silicone,Free Size,Yes,Yes,1 m,"Fitness & Outdoor, Health & Medical",Zink Alloy,Men & Women,Android & iOS,"SpO2, Heart Rate Sensor, Accelerometer, Barometer",Mobile Phones,"Call, SMS, Whatsapp, Facebook, Twiter, Other Social Apps, Sedentary Reminder, Goal Completion",120 Min,"7 days normal, 15 days standby",USB Cable With Metalic Charging Points,240 x 240 Pixels,1.3 mm,TFT LED,"Reject Calls, Silent Calls"
37,"Fire-Boltt Talk 1.28"" Bluetooth Calling Smart Watch with 3D Display & 360 Health Tracking Smartwatch  (Blue Strap, L)","₹1,699",4.1,"Talk 1.28"" Bluetooth Calling Smart Watch with 3D Display & 360 Health Tracking",Black Blue,Circle,Blue,Silicone,L,Yes,Yes,1 m,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,"Accelerometer Sensor, Light Sensor, Optical Heart Rate Sensor",Mobile Phones,"Call, SMS, Whatsapp, Sedentary Reminder, Goal Completion",120 min,Without Bluetooth Calling Function 10 Days With Bluetooth Calling Function 5 Days|30 Days Standby Mode,Magnetic Charger,240*240 pixel,1.28 inch,HD,"Make Calls, Answer Calls, Reject Calls, Speed Dial"
38,"Fire-Boltt Talk 1.28"" Bluetooth Calling Smart Watch with 3D Display & 360 Health Tracking Smartwatch  (Gold Strap, L)","₹1,699",4.1,"Talk 1.28"" Bluetooth Calling Smart Watch with 3D Display & 360 Health Tracking",Black Rose Gold,Circle,Gold,Silicone,L,Yes,Yes,1 m,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,"Accelerometer Sensor, Light Sensor, Optical Heart Rate Sensor",Mobile Phones,"Call, SMS, Whatsapp, Sedentary Reminder, Goal Completion",120 min,Without Bluetooth Calling Function 10 Days With Bluetooth Calling Function 5 Days|30 Days Standby Mode,Magnetic Charger,240*240 pixel,1.28 inch,HD,"Make Calls, Answer Calls, Reject Calls, Speed Dial"
39,"Noise ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes Smartwatch  (Blue Strap, Regular)","₹1,299",4.2,"ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes",Blue,Square,Blue,Silicone,Regular,Yes,Yes,1.5 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,3 Axis,"iPhone, Android Smartphones",Smart Notification,No value available,15 Days,Magnetic Charger,240 x 280 pixel,43 mm,TFT,No value available
40,"Fire-Boltt Talk 1.28"" Bluetooth Calling Smart Watch with 3D Display & 360 Health Tracking Smartwatch  (Grey Strap, 46)","₹1,699",4.1,"Talk 1.28"" Bluetooth Calling Smart Watch with 3D Display & 360 Health Tracking",Black,Circle,Grey,Silicone,46,Yes,Yes,No value available,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,"Accelerometer Sensor, Light Sensor, Optical Heart Rate Sensor",Mobile Phones,"Call, SMS, Whatsapp, Sedentary Reminder, Goal Completion",120 min,Without Bluetooth Calling Function 10 Days With Bluetooth Calling Function 5 Days|30 Days Standby Mode,Magnetic Charger,240*240 pixel,1.28 inch,HD,"Make Calls, Answer Calls, Reject Calls, Speed Dial"
41,"Fire-Boltt Talk 1.28"" Bluetooth Calling Smart Watch with 3D Display & 360 Health Tracking Smartwatch  (Green Strap, 46)","₹1,699",4.1,"Talk 1.28"" Bluetooth Calling Smart Watch with 3D Display & 360 Health Tracking",Teal,Circle,Green,Silicone,46,Yes,Yes,No value available,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,"Accelerometer Sensor, Light Sensor, Optical Heart Rate Sensor",Mobile Phones,"Call, SMS, Whatsapp, Sedentary Reminder, Goal Completion",120 min,Without Bluetooth Calling Function 10 Days With Bluetooth Calling Function 5 Days|30 Days Standby Mode,Magnetic Charger,240*240 pixel,1.28 inch,HD,"Make Calls, Answer Calls, Reject Calls, Speed Dial"
42,"Fire-Boltt Talk 1.28"" Bluetooth Calling Smart Watch with 3D Display & 360 Health Tracking Smartwatch  (Black Strap, 46)","₹1,699",4.1,"Talk 1.28"" Bluetooth Calling Smart Watch with 3D Display & 360 Health Tracking",Black,Circle,Black,Silicone,46,Yes,Yes,No value available,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,"Accelerometer Sensor, Light Sensor, Optical Heart Rate Sensor",Mobile Phones,"Call, SMS, Whatsapp, Sedentary Reminder, Goal Completion",120 min,Without Bluetooth Calling Function 10 Days With Bluetooth Calling Function 5 Days|30 Days Standby Mode,Magnetic Charger,240*240 pixel,1.28 inch,HD,"Make Calls, Answer Calls, Reject Calls, Speed Dial"
43,"Noise Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish Smartwatch  (Pink Strap, Regular)","₹1,999",4.4,"Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish",Gold,Circle,Pink,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, Sp02, Sleep Monitor, Stress",No value available,Smart Notification,No value available,7 Days,Magnetic Charger,240 x 240 pixel,35.052 mm,No value available,No value available
44,"Fire-Boltt Ninja Pro Max 1.83"" Display with SpO2, Heart Rate & Ultra Thin 9.5mm Body Smartwatch  (Pink Gold Strap, Free Size)","₹1,299",4,"Ninja Pro Max 1.83"" Display with SpO2, Heart Rate & Ultra Thin 9.5mm Body",Pink Gold,Square,Pink Gold,Silicone,Free Size,Yes,Yes,1 mm,Fitness & Outdoor,No value available,Women,Android & iOS,"SpO2, Heart Rate Sensor, Accelerometer, Barometer",No value available,Yes,120 min,Upto 8 days,USB Cable With Metalic Charging Points,240 x 284 Pixel,1.83 Inch,TFT LED,Incoming Call Vibrate Alert
45,"Boult Rover 1.3"" HD AMOLED 600Nits High Brightness, Bluetooth Calling with Free Straps Smartwatch  (Classic Switch Strap, Free Size)","₹2,999",4.3,"Rover 1.3"" HD AMOLED 600Nits High Brightness, Bluetooth Calling with Free Straps",Multicolor,Circle,Classic Switch,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Zinc Alloy,Men & Women,Android & iOS,"Real Heart Rate, Real SPO2, Pedometer",Android and iOS,"Social Media, Messages, Incoming Calls, Emails, Water Drink Reminder, Sedentary Reminder",120 min,Upto 7 Days,Magnetic Charging Cable,No value available,No value available,No value available,No value available
46,"Boult Rover 1.3"" HD AMOLED 600Nits High Brightness, Bluetooth Calling with Free Straps Smartwatch  (Flip Strap, Free Size)","₹2,999",4.3,"Rover 1.3"" HD AMOLED 600Nits High Brightness, Bluetooth Calling with Free Straps",Multicolor,Circle,Flip,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Zinc Alloy,Men & Women,Android & iOS,"Real Heart Rate, Real SPO2, Pedometer",Android and iOS,"Social Media, Messages, Incoming Calls, Emails, Water Drink reminder, sedentary reminder",120 min,Upto 7 Days,Magnetic Charging Cable,No value available,No value available,No value available,No value available
47,"Noise Caliber Buzz Advanced BT Calling(True Sync), 1.69"" display, 500 NITS Brightness Smartwatch  (Pink Strap, Regular)","₹1,699",4.3,"Caliber Buzz Advanced BT Calling(True Sync), 1.69"" display, 500 NITS Brightness",No value available,Rectangle,Pink,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Heart Rate,No value available,Smart Notification,No value available,10 Days,Magnetic Charger,240 x 280 pixel,42.926 mm,No value available,No value available
48,"Boult Ridge Bluetooth Calling, 1.8"" 500Nits High Brightness HD Display Smartwatch  (Green Strap, Free Size)","₹1,799",4.1,"Ridge Bluetooth Calling, 1.8"" 500Nits High Brightness HD Display",Multicolour,Rectangle,Green,Silicone,Free Size,Yes,Yes,1 mm,Fitness & Outdoor,No value available,Men & Women,Android & iOS,"Real Heart rate, Real SPO2",Smartphone,"Social Media, Messages, Incoming Calls, Emails",120 min,Upto 7 days,Magnetic Charging Cable,280 x 240 Pixel,1.8 Inch,TFT,"Pick up incoming calls, reject incoming calls, dial, Dedicated Speaker and Mic"
49,"Fitshot Saturn 1.32-inch round CosmicDisplay 360*360 High Resolution with BT Calling Smartwatch  (Blue Strap, Regular)","₹1,799",4,Saturn 1.32-inch round CosmicDisplay 360*360 High Resolution with BT Calling,No value available,Circle,Blue,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,No value available,Men & Women,Android & iOS,"SpO2, 24x7 Heart Rate Monitoring, Blood Pressure Rate, Breathing, Sleep, Sedentary Reminder, Female Health tracker",No value available,No value available,No value available,upto 7 Days,No value available,360*360 pixel,33.528 mm,No value available,No value available
50,"Noise ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes Smartwatch  (Black Strap, Regular)","₹1,299",4.2,"ColorFit Caliber Smart Watch with 15-day battery, 1.69"" display, 60 Sports Modes",Black,Square,Black,Silicone,Regular,Yes,Yes,1.5 m,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,3 Axis,"iPhone, Android Smartphones",Smart Notification,No value available,15 Days,Magnetic Charger,240 x 280 pixel,43 mm,TFT,No value available
51,"beatXP Vega X 1.43"" AMOLED 466*466px Display One-Tap BT 5.2 Calling AI Voice Assistant Smartwatch  (Black Strap, Free Size)","₹2,499",4.1,"Vega X 1.43"" AMOLED 466*466px Display One-Tap BT 5.2 Calling AI Voice Assistant",Electric Black,Circle,Black,Silicone,Free Size,Yes,Yes,1.5 m,Fitness & Outdoor,Stainless Steel,Men & Women,Android & iOS,"Heart Rate, SpO2, Blood Pressure, Sleep Monitoring, Stress Tracking",No value available,App and Text Notifications,150 min,Up To 7 Days,Wireless Charger,466*466 pixel,36.32 mm,Super AMOLED,No value available
52,"Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch  (Glossy Black Strap, Regular)","₹1,899",4.2,"ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance",Gold,Rectangle,Glossy Black,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",No value available,7 Days,Magnetic Charger,240 x 286 pixel,45.72 mm,No value available,"Reject Calls, Take Calls, Speed Dial"
53,"Noise ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces Smartwatch  (Black Strap, Regular)","₹1,299",4.2,"ColorFit Caliber Go with 1.69 inch HD Display, 40 Sports Modes, 150+ Watch Faces",Black,Square,Black,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,Hear Rate,No value available,Smart Notification,No value available,10 Days,Magnetic Charger,240 x 280 pixel,43 mm,No value available,No value available
54,"Noise ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance Smartwatch  (Black Strap, Regular)","₹1,899",4.2,"ColorFit Icon 2 1.8 Display, Bluetooth Calling, AI Voice Assistance",Black,Rectangle,Black,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, SpO2","iPhone, Android Smartphones","Smart Notifications (Calls, Text, Email, Social Media App Alerts, Weather), Alarm Clock, Calendar Alerts)",2 hours,7 Days,Magnetic Charger,240 x 286 pixel,45.72 mm,No value available,"Reject Calls, Take Calls, Speed Dial"
55,"Noise Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish Smartwatch  (Black Strap, Regular)","₹1,999",4.4,"Crew Bluetooth Calling Smartwatch with 1.38"" Round display, Metallic finish",Black,Circle,Black,Silicone,Regular,Yes,Yes,No value available,Fitness & Outdoor,Polycarbonate,Men & Women,Android & iOS,"Heart Rate, Sp02, Sleep Monitor, Stress",No value available,Smart Notification,No value available,7 Days,Magnetic Charger,240 x 240 pixel,35.052 mm,No value available,No value available
56,"boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch  (Black Strap, Free Size)","₹1,799",4.1,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,No value available,Rectangle,Black,Silicone,Free Size,Yes,Yes,No value available,Fitness & Outdoor,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available
57,"boAt Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness Smartwatch  (Blue Strap, Free Size)","₹1,799",4.1,Storm call 1.69 inch HD display with bluetooth calling and 550 nits brightness,No value available,Rectangle,Blue,Silicone,Free Size,Yes,Yes,No value available,Fitness & Outdoor,No value available,Men & Women,Android & iOS,"Accelerometer, Heart Rate and SpO2",No value available,"Call, Text and Social Media",No value available,Upto 10 Days,No value available,No value available,No value available,No value available,No value available
