Product Name,Price,Ratings,camera_details,battery_details,Processor,product_color,model_name,display_size,display_type,resolution,operating_system,processor_type,ram_size,internal_storage,Product_Url
"MOTOROLA e13 (Cosmic Black, 64 GB)  (4 GB RAM)","₹7,749",4,13MP Rear Camera | 5MP Front Camera,5000 mAh Battery,Unisoc T606 Processor,Cosmic Black,e13,16.51 cm (6.5 inch),HD+ IPS LCD Display,1600 x 720 Pixels,Android 13 (Go Edition),Unisoc T606,4 GB,64 GB,https://www.flipkart.com/motorola-e13-cosmic-black-64-gb/p/itm6e3f9b274eef3?pid=MOBGKHNBBMSUE94W&lid=LSTMOBGKHNBBMSUE94WYZAYPS&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_79&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGKHNBBMSUE94W.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)  (4 GB RAM)","₹11,999",4.4,50MP + 5MP + 2MP | 8MP Front Camera,6000 mAh Lithium Ion Battery,Exynos 850 Processor,Waterfall Blue,Galaxy F13,16.76 cm (6.6 inch),Full HD+,2408 x 1080 Pixels,Android 12,Exynos 850,4 GB,128 GB,https://www.flipkart.com/samsung-galaxy-f13-waterfall-blue-128-gb/p/itm85a305642eb7b?pid=MOBGENJWVWYAAVG5&lid=LSTMOBGENJWVWYAAVG5AKPCP0&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_80&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGENJWVWYAAVG5.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"Infinix Smart 6 HD (Force Black, 32 GB)  (2 GB RAM)","₹5,799",4.3,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio A22 Processor,Force Black,Smart 6 HD,16.76 cm (6.6 inch),HD+ IPS Display,1600 x720,Android 11,Mediatek Helio A22,2 GB,32 GB,https://www.flipkart.com/infinix-smart-6-hd-force-black-32-gb/p/itme9743e28b0cf7?pid=MOBGGMHWHZCN2MSG&lid=LSTMOBGGMHWHZCN2MSGTWCOJN&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_81&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGGMHWHZCN2MSG.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"Infinix Smart 6 HD (Aqua Sky, 32 GB)  (2 GB RAM)","₹5,799",4.3,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio A22 Processor,Aqua Sky,Smart 6 HD,16.76 cm (6.6 inch),HD+ IPS Display,1600 x720 Pixels,Android 11,Mediatek Helio A22,2 GB,32 GB,https://www.flipkart.com/infinix-smart-6-hd-aqua-sky-32-gb/p/itme9743e28b0cf7?pid=MOBGGMHWZZR7GB6R&lid=LSTMOBGGMHWZZR7GB6R7FNENW&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_82&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGGMHWZZR7GB6R.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"Infinix Smart 6 HD (Origin Blue, 32 GB)  (2 GB RAM)","₹5,799",4.3,8MP Rear Camera | 5MP Front Camera,5000 mAh Lithium-ion Polymer Battery,Mediatek Helio A22 Processor,Origin Blue,Smart 6 HD,16.76 cm (6.6 inch),HD+ IPS Display,1600 x720 Pixels,Android 11,Mediatek Helio A22,2 GB,32 GB,https://www.flipkart.com/infinix-smart-6-hd-origin-blue-32-gb/p/itme9743e28b0cf7?pid=MOBGGMHWHDPHYSNX&lid=LSTMOBGGMHWHDPHYSNX0ZW5L4&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_83&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGGMHWHDPHYSNX.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"vivo T2 5G (Nitro Blaze, 128 GB)  (8 GB RAM)","₹20,999",4.6,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor,Nitro Blaze,T2 5G,16.21 cm (6.38 inch),Full HD+ AMOLED Display,2400 x 1080 Pixels,Android 13,Snapdragon 695,8 GB,128 GB,https://www.flipkart.com/vivo-t2-5g-nitro-blaze-128-gb/p/itma79eb573156a4?pid=MOBGZBFUHGYHNEMB&lid=LSTMOBGZBFUHGYHNEMBAEJO4M&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_84&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGZBFUHGYHNEMB.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"vivo T2 5G (Velocity Wave, 128 GB)  (8 GB RAM)","₹20,999",4.6,64 MP (OIS) + 2MP | 16MP Front Camera,4500 mAh Battery,Snapdragon 695 Processor,Velocity Wave,T2 5G,16.21 cm (6.38 inch),Full HD+ AMOLED Display,2400 x 1080 Pixels,Android 13,Snapdragon 695,8 GB,128 GB,https://www.flipkart.com/vivo-t2-5g-velocity-wave-128-gb/p/itma79eb573156a4?pid=MOBGZBFU2GHZTMGN&lid=LSTMOBGZBFU2GHZTMGNA9LEX4&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_85&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGZBFU2GHZTMGN.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"POCO M4 5G (Yellow, 128 GB)  (6 GB RAM)","₹13,999",4.2,50MP + 2MP | 8MP Front Camera,5000 mAh Lithium Ion Polymer Battery,Mediatek Dimensity 700 Processor,Yellow,M4 5G,16.71 cm (6.58 inch),Full HD+ Display,2400 x 1080 Pixels,Android 12,Mediatek Dimensity 700,6 GB,128 GB,https://www.flipkart.com/poco-m4-5g-yellow-128-gb/p/itm391fa74136549?pid=MOBGDRGPKQYB4RNZ&lid=LSTMOBGDRGPKQYB4RNZWXTHJ5&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_86&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGDRGPKQYB4RNZ.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"realme 10 Pro 5G (Nebula Blue, 128 GB)  (8 GB RAM)","₹19,999",4.4,108MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 695 5G Processor,Nebula Blue,10 Pro 5G,17.07 cm (6.72 inch),Full HD+ LCD Display,2400 x 1080 Pixel,Android 13,Qualcomm Snapdragon 695 5G,8 GB,128 GB,https://www.flipkart.com/realme-10-pro-5g-nebula-blue-128-gb/p/itm1e672d12a252e?pid=MOBGK8VHHFY5VCAY&lid=LSTMOBGK8VHHFY5VCAYOXEXVI&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_87&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGK8VHHFY5VCAY.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"REDMI 10 Power (Power Black, 128 GB)  (8 GB RAM)","₹11,744",4.2,50MP Rear Camera,6000 mAh Battery,NO value available,Power Black,REDMI 10 Power,17.02 cm (6.7 inch),No value available,2400 x 1080 pixel,Android 13,No value available,8 GB,128 GB,https://www.flipkart.com/redmi-10-power-power-black-128-gb/p/itm97f5d2ec83588?pid=MOBGHDXFYKKZFZGV&lid=LSTMOBGHDXFYKKZFZGVP4ND5Q&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_88&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGHDXFYKKZFZGV.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
"REDMI 10 (Caribbean Green, 64 GB)  (4 GB RAM)","₹9,999",4.3,50MP + 2MP | 5MP Front Camera,6000 mAh Lithium Polymer Battery,Qualcomm Snapdragon 680 Processor,Caribbean Green,10,17.02 cm (6.7 inch),HD+ IPS LCD,1650 x 720 Pixels,Android 11,Qualcomm Snapdragon 680,4 GB,64 GB,https://www.flipkart.com/redmi-10-caribbean-green-64-gb/p/itmbfb8dfcdd6e10?pid=MOBGC9GYQGGKWEU3&lid=LSTMOBGC9GYQGGKWEU3SLBNSD&marketplace=FLIPKART&q=smartphone&store=tyy%2F4io&srno=s_4_89&otracker=search&otracker1=search&fm=organic&iid=7084be8d-bc15-48ff-81d7-a80f6b6f8d73.MOBGC9GYQGGKWEU3.SEARCH&ppt=None&ppn=None&ssid=05jifo7jk00000001682270368513&qH=1036ba3c4ed2c021
